goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12     	15239846	        79.93 ns/op	      40 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12         	 8374136	       125.2 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12                 	22096206	        56.92 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[oas3/jsonpointer]-12                      	12962179	        90.32 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[encoding/json/jsontext]-12                	358043286	         3.365 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[twindagger/jsonptr]-12                    	 9555870	       121.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12                	21933608	        54.02 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12          	 9678951	       117.9 ns/op	     112 B/op	       4 allocs/op
BenchmarkBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12                     	23751363	        53.33 ns/op	      56 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12                 	341427742	         3.361 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12                   	370701800	         3.138 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12                     	10630540	       124.8 ns/op	      45 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12          	 7194810	       168.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12                  	22935034	        56.98 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12                       	12223676	        93.01 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12                 	336366478	         3.380 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12                     	 7039392	       165.6 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12                 	22551156	        56.75 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12           	 6541014	       173.8 ns/op	     144 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12                      	18868060	        63.59 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12                  	358937011	         3.143 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                         	 6595044	       177.1 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                     	22739961	        52.74 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12               	 7507288	       161.4 ns/op	     128 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                          	30697850	        42.33 ns/op	      16 B/op	       1 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                      	362121475	         3.351 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                       	369201884	         3.306 ns/op	       0 B/op	       0 allocs/op
