goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkGet/[chanced/jsonpointer]-12         	 2049784	       600.6 ns/op	     165 B/op	      13 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                          	12004014	        89.75 ns/op	      64 B/op	       3 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                         	 5771026	       191.3 ns/op	      80 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                     	12322246	        85.92 ns/op	     104 B/op	       3 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12                  	42026782	        26.75 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                           	20777757	        49.91 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                       	 3428965	       333.6 ns/op	     137 B/op	       5 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12              	 5554699	       215.5 ns/op	      96 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                     	35170004	        33.61 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                      	21985231	        49.21 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                      	 8986305	       140.4 ns/op	     176 B/op	       4 allocs/op
BenchmarkBackToString/"/definitions/Location"/[encoding/json/jsontext]-12         	270133479	         4.389 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12          	18759855	        70.68 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12          	276064088	         4.328 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12   	 8143098	       151.2 ns/op	     112 B/op	       4 allocs/op
