goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkParse/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12                  	 7259510	       158.0 ns/op	     184 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                       	 3481800	       342.0 ns/op	     137 B/op	       5 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                      	25257812	        47.65 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                         	 5508956	       221.5 ns/op	     128 B/op	       5 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                         	 5532969	       200.5 ns/op	      80 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[kaptinlin/jsonpointer]-12                      	 8760850	       148.7 ns/op	     104 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                     	31996862	        43.69 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12               	 4095303	       287.5 ns/op	     168 B/op	       9 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                     	13090606	        92.99 ns/op	     104 B/op	       3 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12              	 5624840	       226.6 ns/op	      96 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                        	38117017	        31.98 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12                  	30512294	        35.92 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                           	20096748	        52.59 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                          	12476343	        96.25 ns/op	      64 B/op	       3 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                      	 7708509	       147.3 ns/op	     176 B/op	       4 allocs/op
BenchmarkBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12  	 7115871	       161.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[chanced/jsonpointer]-12            	287647921	         4.294 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[crhntr/jsonschema/jsonptr]-12      	280065118	         4.419 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[oas3/jsonpointer]-12               	11465731	       114.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12              	19116483	        66.28 ns/op	      56 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12          	263299870	         4.178 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12           	295966975	         3.962 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12          	20309175	        66.95 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[twindagger/jsonptr]-12             	 7027917	       163.9 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12             	11108812	       108.7 ns/op	      40 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[kaptinlin/jsonpointer]-12          	14186821	        77.24 ns/op	      24 B/op	       1 allocs/op
BenchmarkBackToString/"/definitions/Location"/[encoding/json/jsontext]-12         	281592524	         4.345 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12   	 8084086	       152.4 ns/op	     112 B/op	       4 allocs/op
