goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkParse/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12             	 5821741	       211.5 ns/op	      96 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[kaptinlin/jsonpointer]-12                     	 8777162	       144.1 ns/op	     104 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                         	11998803	        93.06 ns/op	      64 B/op	       3 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                      	 3459258	       342.5 ns/op	     137 B/op	       5 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                    	41022883	        36.83 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                        	 5532984	       197.0 ns/op	      80 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                       	41630942	        27.16 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                          	24953287	        47.50 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12                     	 7366436	       143.1 ns/op	     176 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12                     	25839496	        50.51 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12                 	41205753	        30.03 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12                    	13708449	        88.24 ns/op	     104 B/op	       3 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12              	 4713741	       246.8 ns/op	     168 B/op	       9 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                        	 4662948	       226.2 ns/op	     128 B/op	       5 allocs/op
BenchmarkBackToString/"/definitions/Location"/[oas3/jsonpointer]-12              	 9014040	       111.3 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12         	270158736	         4.049 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12         	18178706	        66.50 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[crhntr/jsonschema/jsonptr]-12     	277254402	         3.852 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12        	16627272	        66.91 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12  	 7927598	       148.4 ns/op	     112 B/op	       4 allocs/op
BenchmarkBackToString/"/definitions/Location"/[twindagger/jsonptr]-12            	 7521691	       149.2 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12 	 7585668	       151.1 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[kaptinlin/jsonpointer]-12         	15446898	        79.51 ns/op	      24 B/op	       1 allocs/op
BenchmarkBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12             	16843137	        67.78 ns/op	      56 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12          	310337728	         3.927 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[encoding/json/jsontext]-12        	300984733	         4.115 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12            	10958918	        95.19 ns/op	      40 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[chanced/jsonpointer]-12           	297880875	         4.116 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12             	 8175577	       141.9 ns/op	      45 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12            	284673732	         4.052 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12               	 9550360	       110.0 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12          	300024987	         3.934 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12          	20012325	        68.30 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[crhntr/jsonschema/jsonptr]-12      	294586726	         3.963 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12         	17940145	        68.59 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12   	 5480875	       213.2 ns/op	     144 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12             	 6244716	       196.8 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12  	 5546290	       200.9 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[kaptinlin/jsonpointer]-12          	 9693919	       115.2 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12              	15382053	        80.11 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12           	308823373	         3.816 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12         	283166610	         3.893 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                	302464834	         3.977 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                   	11431588	       106.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[lestrrat-go/jspointer]-12              	285946752	         4.128 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[xeipuuv/gojsonpointer]-12              	20759416	        64.52 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12          	293558235	         3.892 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12             	18415027	        64.76 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12       	 5425639	       208.3 ns/op	     128 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                 	 5047816	       219.2 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12      	 5464650	       212.6 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[kaptinlin/jsonpointer]-12              	13206586	        99.45 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                  	24199951	        52.80 ns/op	      16 B/op	       1 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12               	292727048	         3.871 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12             	304838418	         4.025 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                 	 6941077	       166.9 ns/op	      53 B/op	       4 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12         	 2958912	       385.8 ns/op	     296 B/op	      13 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[twindagger/jsonptr]-12                   	 4115467	       305.0 ns/op	     168 B/op	       6 allocs/op
BenchmarkParseAndBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12        	 4349685	       284.3 ns/op	     136 B/op	       5 allocs/op
