goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkParse/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                    	33686740	        38.80 ns/op	      56 B/op	       2 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12        	 6299589	       202.4 ns/op	     168 B/op	       9 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                 	46907316	        23.15 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[rnd42/go-jsonpointer]-12                	 4531550	       268.9 ns/op	     137 B/op	       5 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[twindagger/jsonptr]-12                  	 6244057	       185.3 ns/op	     128 B/op	       5 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12       	 6299877	       183.0 ns/op	      96 B/op	       4 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[crhntr/jsonschema/jsonptr]-12           	43459922	        27.34 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[encoding/json/jsontext]-12              	43342195	        29.07 ns/op	      16 B/op	       1 allocs/op
BenchmarkBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12  	19151078	        57.64 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12       	20197926	        55.48 ns/op	      56 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12   	333611931	         3.422 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12      	13538598	        85.56 ns/op	      40 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12   	19466185	        59.62 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[oas3/jsonpointer]-12        	12240427	       103.1 ns/op	      64 B/op	       3 allocs/op
