goos: linux
goarch: amd64
pkg: github.com/dolmen-go/jsonptr-benchmark
cpu: Intel(R) Core(TM) 5 210H
BenchmarkParse/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12              	 6175474	       218.0 ns/op	     168 B/op	       9 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[encoding/json/jsontext]-12                    	47769553	        29.32 ns/op	      16 B/op	       1 allocs/op
BenchmarkParse/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                       	62163253	        23.89 ns/op	      16 B/op	       1 allocs/op
BenchmarkBackToString/"/definitions/Location"/[rnd42/go-jsonpointer]-12          	321315314	         3.605 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[twindagger/jsonptr]-12            	 8779821	       136.8 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[lestrrat-go/jspointer]-12         	316725369	         3.414 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[json-validate/json-pointer-go]-12 	 9731571	       124.6 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[oas3/jsonpointer]-12              	12714999	        91.81 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/definitions/Location"/[yukithm/json2csv/jsonpointer]-12  	 9653130	       120.5 ns/op	     112 B/op	       4 allocs/op
BenchmarkBackToString/"/definitions/Location"/[encoding/json/jsontext]-12        	352998133	         3.580 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[chanced/jsonpointer]-12           	334743619	         3.386 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/definitions/Location"/[qri-io/jsonpointer]-12            	14861262	        84.08 ns/op	      40 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[go-openapi/jsonpointer]-12        	21639457	        56.81 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[dolmen-go/jsonptr]-12             	21142507	        54.37 ns/op	      56 B/op	       2 allocs/op
BenchmarkBackToString/"/definitions/Location"/[xeipuuv/gojsonpointer]-12         	22218062	        56.21 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[dolmen-go/jsonptr]-12              	16858704	        72.87 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[xeipuuv/gojsonpointer]-12          	23264800	        58.00 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[rnd42/go-jsonpointer]-12           	328724253	         3.480 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[twindagger/jsonptr]-12             	 7370702	       172.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[lestrrat-go/jspointer]-12          	339785244	         3.673 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[json-validate/json-pointer-go]-12  	 6813520	       163.4 ns/op	      80 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[oas3/jsonpointer]-12               	13251184	        89.71 ns/op	      64 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[yukithm/json2csv/jsonpointer]-12   	 7539379	       174.0 ns/op	     144 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[encoding/json/jsontext]-12         	349184419	         3.537 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[chanced/jsonpointer]-12            	331022085	         3.451 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[qri-io/jsonpointer]-12             	10042078	       122.7 ns/op	      45 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~1home~1dolmen"/[go-openapi/jsonpointer]-12         	23200134	        53.57 ns/op	      48 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[json-validate/json-pointer-go]-12      	 6524206	       176.4 ns/op	      80 B/op	       5 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[oas3/jsonpointer]-12                   	13707314	        89.68 ns/op	      48 B/op	       3 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[yukithm/json2csv/jsonpointer]-12       	 7487380	       169.3 ns/op	     128 B/op	       6 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[encoding/json/jsontext]-12             	349047903	         3.395 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[chanced/jsonpointer]-12                	353140282	         3.604 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[qri-io/jsonpointer]-12                 	 8514768	       132.8 ns/op	      53 B/op	       4 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[go-openapi/jsonpointer]-12             	23082150	        51.26 ns/op	      32 B/op	       2 allocs/op
BenchmarkBackToString/"/path/~0~1dolmen"/[dolmen-go/jsonptr]-12                  	27778256	        41.73 ns/op	      16 B/op	       1 allocs/op
